Species	Subject	Child	Condition	Reward Nsoc	Session	Condition	door	Trial_number	Room Baited	Tool given to M	tool_transfer	tool_inserted_by	Where	tool_in_tube	Transfer	social tool use	comment	reward
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	3	1	open	5	both	Room 2	1	i	Stube	1	Active	"Yes, gives tool to Tanah and pushes her through"	"Tanah in 2, Tanah plays with tool and does not put it in, then she drops it out, I get it and then I give it back to Dokana. She puts tool in room 3 and Tanah gets it. Nice for clip,( see minute 12:45)"	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	3	1	open	6	both	Room 2	1	i	Stube	1	Active		Tanah in 3 waits for tool close to the door	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	3	3	closed	7	both	Room 2	0	m	Nsocial	0				
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	3	3	closed	8	both	Room 2	1	m	Nsocial	0	Active		Tanah in 3	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	4	4	closed	1	giver_only	Room 2	0	m	Nsocial	0			Tanah in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	4	4	closed	2	giver_only	Room 2	0	m	Nsocial	0			Tanah in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	4	3	closed	3	both	Room 2	0	m	Nsocial	0			Tanah in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	4	3	closed	4	both	Room 2	0	m	Nsocial	0			Tanah in 3	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	4	2	open	5	giver_only	Room 2	1	i	Stube	1	Active 		Tanah in 4	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	4	2	open	6	giver_only	Room 2	1	m	Nsocial	0	Active 		"Tanah in 4, but she comes back to room 2 and tries to use tool herself in Nsoc apparatus and D takes it away from her"	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	4	1	open	7	both	Room 2	1	i	Stube	1	Active  (leaves tool on ground in room 3)		Tanah in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	4	1	open	8	both	Room 2	1	i	Stube	1	Active (leaves tool on ground in room 3)		Tanah in 4. Nice for clip from min. 19:14	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	5	2	open	1	giver_only	Room 2	1	Nobody	Nothing	0	Active		T in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	5	2	open	2	giver_only	Room 2	1	i	Stube	1	Active		T in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	5	1	open	3	both	Room 2	1	i	Stube	1	Active?		T in 3	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	5	1	open	4	both	Room 2	1	i	Stube	1	Active/Passive?		"T in 3. Tanah waits for Dokana in room 3 with begging gesture, when D approaches she seems to take the tool from Dokana, but Dokana clearly had also brought the tool there for her."	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	5	4	closed	5	giver_only	Room 2	1	i	Nsocial	0	Active		T in 3 Dokana eats the food	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	5	4	closed	6	giver_only	Room 2	0	m	Nsocial	0			T in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	5	3	closed	7	both	Room 2	0	m	Nsocial	0			T in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	5	3	closed	8	both	Room 2	0	m	Nsocial	0			T in 3	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	6	2	open	1	giver_only	Room 2	1	i	Nsocial	0	Active	Yes	"T in 2 T puts tool in tube, then takes it out. A lot of back and forth"	Mother eats reward
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	6	2	open	2	giver_only	Room 2	1	m	Nsocial	0	Active	Yes	"T in 2. T puts tool in, then out and mother tries to push her again"	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	6	3	closed	3	both	Room 2	0	m	Nsocial	0			T in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	6	3	closed	4	both	Room 2	0	m	Nsocial	0			T in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	6	4	closed	5	giver_only	Room 2	0	m	Nsocial	0			T in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	6	4	closed	6	giver_only	Room 2	0	m	Nsocial	0			T in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	6	1	open	7	both	Room 2	1	i	Stube	1	Active in room 2		T in 3	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	6	1	open	8	both	Room 2	1	i	Stube	1	Active		T in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	7	3	closed	1	both	Room 2	1	m	Nsocial	0	Passive (Tanah takes it)		T in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	7	3	closed	2	both	Room 2	0	m	Nsocial	0			T in 3	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	7	1	open	3	both	Room 2	1	i	Stube	1	Active 		T in 3	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	7	1	open	4	both	Room 2	1	i	Stube	1	Active (sliding tool in room 3)		T in 4	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	7	2	open	5	giver_only	Room 2	1	m	Nsocial	0	Active 		T in 4	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	7	2	open	6	giver_only	Room 2	0	m	Nsocial	0			T in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	7	4	closed	7	giver_only	Room 2	0	m	Nsocial	0			T in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	7	4	closed	8	giver_only	Room 2	0	m	Nsocial	0			T in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	8	3	closed	1	both	Room 2	0	m	Nsocial	0			T in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	8	3	closed	2	both	Room 2	0	m	Nsocial	0			T in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	8	4	closed	3	giver_only	Room 2	0	m	Nsocial	0			T in 3	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	8	4	closed	4	giver_only	Room 2	0	m	Nsocial	0			T in 2	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	8	1	open	5	both	Room 2	1	i	Stube	1	Active (sliding tool in room 3)		T in 4	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	8	1	open	6	both	Room 2	1	i	Stube	1	Active 	Slight push 	T in 3	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	8	2	open	7	giver_only	Room 2	1	Nobody	Infant lost tool outside cage	0	Active 		T in 4	
Orangutan	Dokana	Tanah	2x2infant_Nonsocial	Carrot	8	2	open	8	giver_only	Room 2	1	m	Nsocial	0	Active 	Yes	T in 2	
